datetime,station_antwerp,station_paris,station_london
2019-05-07,False,False,False
2019-05-08,False,False,False
2019-05-09,False,False,False
2019-05-10,False,False,False
2019-05-11,False,False,False
2019-05-12,False,False,False
2019-05-13,False,False,False
2019-05-14,False,False,False
2019-05-15,False,False,False
2019-05-16,False,False,False
2019-05-17,False,False,False
2019-05-18,False,False,False
2019-05-19,False,False,False
2019-05-20,False,False,False
2019-05-21,False,False,False
2019-05-22,False,False,False
2019-05-23,True,False,False
2019-05-24,True,False,False
2019-05-25,False,False,False
2019-05-26,False,False,False
2019-05-27,False,False,False
2019-05-28,False,False,False
2019-05-29,False,False,False
2019-05-30,False,False,False
2019-05-31,False,False,False
2019-06-01,False,False,False
2019-06-02,False,False,False
2019-06-03,False,False,False
2019-06-04,False,False,False
2019-06-05,False,False,False
2019-06-06,False,False,False
2019-06-07,False,False,False
2019-06-08,False,False,False
2019-06-09,False,False,False
2019-06-10,False,False,False
2019-06-11,False,False,False
2019-06-12,False,False,False
2019-06-13,False,False,False
2019-06-14,False,False,False
2019-06-15,False,False,False
2019-06-16,False,False,False
2019-06-17,False,False,False
2019-06-18,False,False,False
2019-06-19,False,False,False
2019-06-20,False,False,False
2019-06-21,False,False,False
